anio,mes,punto_conteo,liviano,dos_tres_ejes,cuatro_ejes,cinco_mas_ejes,autobus,total,ubicacion
2023,Setiembre,62180,301983,59970,9301,70034,4083,445371,Balsa de Atenas
2023,Setiembre,7100,2283372,140077,4856,16728,24643,2469676,Santa Ana
2023,Setiembre,71335,372753,34496,22733,76273,6240,512495,Pozon de Orotina
2023,Setiembre,75400,349966,28880,22985,81304,5741,488876,Caldera
2023,Octubre,10540,1852746,85600,47903,20406,27503,2034158,Santa Ana Ciudad Colon
2023,Octubre,22450,581552,107558,4919,64208,6542,764779,Ciudad Colon
2023,Octubre,2900,2484571,135129,3008,14216,47819,2684743,Escazu
2023,Octubre,30620,632240,77117,24160,59604,12218,805339,Castro Madriz Sector A
2023,Octubre,31550,258510,23340,271,1154,1112,284387,Castro Madriz Sector B
2023,Octubre,41960,546999,65898,18844,66505,5165,703411,Orotina
2023,Octubre,500,1160349,78005,2777,2417,42207,1285755,Sabana San Jose
2023,Octubre,54950,689318,111392,4465,73540,5071,883786,Turrucares
2023,Octubre,62180,331545,62810,15335,93621,6344,509655,Balsa de Atenas
2023,Octubre,7100,2737014,167775,5295,20449,28893,2959426,Santa Ana
2023,Octubre,71335,447248,43773,29306,103281,9363,632971,Pozon de Orotina
2023,Octubre,75400,338769,8333,39877,76364,4949,468292,Caldera
2023,Noviembre,10540,1306254,84859,14071,11883,16454,1433521,Santa Ana Ciudad Colon
2023,Noviembre,22450,382335,67389,2715,38422,3723,494584,Ciudad Colon
2023,Noviembre,2900,2222190,69137,740,16442,89808,2398317,Escazu
2023,Noviembre,30620,607607,75332,21003,52647,9514,766103,Castro Madriz Sector A
2023,Noviembre,31550,221758,11846,19,1354,9472,244449,Castro Madriz Sector B
2023,Noviembre,41960,565278,44162,29159,149592,3119,791310,Orotina
2023,Noviembre,500,1032728,70990,2555,2307,37422,1146002,Sabana San Jose
2023,Noviembre,54950,442660,66322,4241,38024,2578,553825,Turrucares
2023,Noviembre,62180,452458,67740,4242,38792,2578,565810,Balsa de Atenas
2023,Noviembre,7100,2393017,151420,5353,17961,23729,2591480,Santa Ana
2023,Noviembre,71335,414491,41196,27162,90109,8135,581093,Pozon de Orotina
2023,Noviembre,75400,366261,7569,42896,69871,5083,491680,Caldera
2023,Diciembre,10540,762231,46393,1407,5893,8609,824533,Santa Ana Ciudad Colon
2023,Diciembre,22450,394504,68002,3474,37123,4479,507582,Ciudad Colon
2023,Diciembre,2900,2533814,121430,2094,17711,71406,2746455,Escazu
2023,Diciembre,30620,752073,79473,18756,46227,10124,906653,Castro Madriz Sector A
